passage_topic,,class
Beijingers fume over parking fees,,business
GM issues 2005 profits warning,,business
US economy still growing says Fed,,business
Wall Street cool to eBay's profit,,business
WorldCom trial starts in New York,,business
High fuel costs hit US airlines,,business
European losses hit GM's profits,,business
EU to probe Alitalia 'state aid',,business
IMF agrees fresh Turkey funding,,business
Saudi investor picks up the Savoy,,business
Tsunami slows Sri Lanka's growth,,business
China suspends 26 power projects,,business
Two Nigerian banks set to merge,,business
Virgin Blue shares plummet 20%,,business
Watchdog probes Vivendi bond sale,,business
Saudi NCCI's shares soar,,business
JP Morgan admits US slavery links,,business
Egypt and Israel seal trade deal,,business
Ford gains from finance not cars,,business
Wipro beats forecasts once again,,business
Christmas sales worst since 1981,,business
Businesses fail to plan for HIV,,business
Ailing EuroDisney vows turnaround,,business
UK young top Euro earnings league,,business
Swiss cement firm in buying spree,,business
India's Reliance family feud heats up,,business
World leaders gather to face uncertainty,,business
US budget deficit to reach $368bn,,business
Criminal probe on Citigroup deals,,business
Brazil jobless rate hits new low,,business
Indonesia 'declines debt freeze',,business
Parmalat bank barred from suing,,business
China continues rapid growth,,business
SEC to rethink post-Enron rules,,business
BBC poll indicates economic gloom,,business
Europe asks Asia for euro help,,business
FBI agent colludes with analyst,,business
Millions go missing at China bank,,business
China Aviation seeks rescue deal,,business
Low-cost airlines hit Eurotunnel,,business
Water firm Suez in Argentina row,,business
Algeria hit by further gas riots,,business
India's Maruti sees profits jump,,business
Aids and climate top Davos agenda,,business
China now top trader with Japan,,business
Trial begins of Spain's top banker,,business
UK economy ends year with spurt,,business
HealthSouth ex-boss goes on trial,,business
Euro firms miss out on optimism,,business
Lacroix label bought by US firm,,business
Career honour for actor DiCaprio,,entertainment
Howl helps boost Japan's cinemas,,entertainment
Keanu Reeves given Hollywood star,,entertainment
De Niro completes box office coup,,entertainment
Day-Lewis set for Berlin honour,,entertainment
US composer recreates Bach score,,entertainment
Applegate's Charity show closes,,entertainment
Ray Charles studio becomes museum,,entertainment
Britney attacks 'false tabloids',,entertainment
Abba queen enters music rich list,,entertainment
Casino Royale is next Bond movie,,entertainment
Berlin celebrates European cinema,,entertainment
India to deport Bollywood actress,,entertainment
Ray DVD beats box office takings,,entertainment
Women in film 'are earning less',,entertainment
Vera Drake's Bafta triumph hope,,entertainment
Roundabout continues nostalgia trip,,entertainment
Stars shine on Bafta red carpet,,entertainment
Bafta to hand out movie honours,,entertainment
Stars pay tribute to actor Davis,,entertainment
Aviator and Vera take Bafta glory,,entertainment
Film star Fox behind theatre bid,,entertainment
Shark Tale DVD is US best-seller,,entertainment
Lopez misses UK charity premiere,,entertainment
Super Size Me wins writers' award,,entertainment
Original Exorcist to be screened,,entertainment
Oscar nominees lack pulling power,,entertainment
Hitch holds on to US box office,,entertainment
Tarantino to direct CSI episode,,entertainment
Bollywood DVD fraudster is jailed,,entertainment
US 'afflicted' with awards fatigue,,entertainment
Critics back Aviator for Oscars,,entertainment
Briton wins short film Oscar,,entertainment
Sideways dominates Spirit awards,,entertainment
Arnold congratulated on Oscar win,,entertainment
Eastwood's Baby scoops top Oscars,,entertainment
British stars denied major Oscars,,entertainment
Lee to create new film superhero,,entertainment
Jackson film 'absolute disaster',,entertainment
France set for new Da Vinci novel,,entertainment
UK Directors Guild nominees named,,entertainment
Halloween writer Debra Hill dies,,entertainment
Tarantino 'to make Friday sequel',,entertainment
Boogeyman takes box office lead,,entertainment
Lost Doors frontman movie found,,entertainment
Last Star Wars 'not for children',,entertainment
French honour for director Parker,,entertainment
Robots march to US cinema summit,,entertainment
Hobbit picture 'four years away',,entertainment
Buffy creator joins Wonder Woman,,entertainment
"Act on detention ruling, UK urged",,politics
BAA support ahead of court battle,,politics
UK 'discriminated against Roma',,politics
Howard pitches for UK ethnic vote,,politics
Observers to monitor UK election,,politics
UK rebate 'unjustified' - Chirac,,politics
"UK needs tax cuts, Tories insist",,politics
Brown targets OAPs and homebuyers,,politics
MPs demand 'Budget leak' answers,,politics
US casino 'tricks' face ban in UK,,politics
Blair defends terror law changes,,politics
Election 'could be terror target',,politics
Minimum wage increased to Â£5.05,,politics
Hunt ban support is 'in decline',,politics
At a glance: Tory health checks,,politics
Labour accused of 'EU propaganda',,politics
Terror suspects face house arrest,,politics
UK pledges Â£1bn to vaccine effort,,politics
Straw backs ending China embargo,,politics
Pre-poll clash on tax and spend,,politics
Plan to give elderly care control,,politics
EU rules 'won't stop UK spending',,politics
Child access law shake-up planned,,politics
'EU referendum could cost Â£80m',,politics
'No UK apology' for colonial past,,politics
Parliament's record of scandal,,politics
Economy focus for election battle,,politics
Blair ready to call election,,politics
Labour faces 'cold calls' inquiry,,politics
Blunkett hints at election call,,politics
Lib Dems predict 'best ever poll',,politics
Tories reject rethink on axed MP,,politics
Ex-PM Lord Callaghan dies aged 92,,politics
Blair prepares to name poll date,,politics
Brown's poll campaign move denied,,politics
Voters 'don't trust politicians',,politics
Tory candidate quits over remark,,politics
Abortion not a poll issue - Blair,,politics
Profile: Gordon Brown,,politics
Boateng to step down at election,,politics
Howard hits back at mongrel jibe,,politics
Tories urge 'change at the top',,politics
Sayeed to stand down as Tory MP,,politics
Howard's unfinished business,,politics
'Last chance' warning for voters,,politics
Sainsbury's Labour election gift,,politics
Blair 'up for it' ahead of poll,,politics
Labour MP praises Tory campaign,,politics
Top Tories on Lib Dem 'hit list',,politics
Lib Dems unveil election slogan,,politics
Navratilova hits out at critics,,sport
Prodigy Monfils blows away Gaudio,,sport
Connors boost for British tennis,,sport
Henin-Hardenne beaten on comeback,,sport
Moya clinches Cup for Spain,,sport
Capriati to miss Melbourne,,sport
Classy Henman makes winning start,,sport
Moya emotional after Davis Cup win,,sport
Moya emotional at Davis Cup win,,sport
Capriati out of Australian Open,,sport
Bryan twins keep US hopes alive,,sport
Faultless Federer has no equal,,sport
Mauresmo opens with victory in LA,,sport
Agassi fear for Melbourne,,sport
Henman to face Saulnier test,,sport
Moya suffers shock loss,,sport
Clijsters hope on Aussie Open,,sport
Clijsters could play Aussie Open,,sport
Edgy Agassi struggles past Dent,,sport
Roddick splits from coach Gilbert,,sport
Roddick in talks over new coach,,sport
Hewitt survives Nalbandian epic,,sport
Sydney return for Henin-Hardenne,,sport
Koubek suspended after drugs test,,sport
Hewitt fights back to reach final,,sport
Officials respond in court row,,sport
Williams battles to Aussie title,,sport
Safin cool on Wimbledon,,sport
Safin plays down Wimbledon hopes,,sport
Nadal puts Spain 2-0 up,,sport
Henman & Murray claim LTA awards,,sport
Connors' rallying cry for British tennis,,sport
Roche 'turns down Federer offer',,sport
Federer joins all-time greats,,sport
Philippoussis doubt over Open bid,,sport
Slovakia reach Hopman Cup final,,sport
Dent continues Adelaide progress,,sport
Moya sidesteps Davis Cup in 2005,,sport
Henman decides to quit Davis Cup,,sport
Ivanovic seals Canberra victory,,sport
Minister digs in over doping row,,sport
Safin relieved at Aussie recovery,,sport
Veteran Martinez wins Thai title,,sport
Soderling wins tense Milan final,,sport
Rusedski forced out in Marseille,,sport
